tconst	averageRating	numVotes
tt0000746	7.2	10
tt0000747	4.6	8
tt0000748	5.9	14
tt0000749	5.7	601
tt0000752	5.5	74
tt0000754	7.1	36
tt0000755	5.6	139
tt0000756	5.4	75
tt0000758	6	16
tt0000759	7.6	7
tt0000762	6	6
tt0000764	6	86
tt0000765	5.8	5
tt0000767	6.5	8
tt0000769	5.3	108
tt0000770	5.8	87
tt0000771	5.7	11
tt0000772	6.1	9
tt0000775	7.5	6
tt0000776	5.5	46
tt0000778	6.5	6
tt0000779	5.7	6
tt0000781	6.2	9
tt0000782	8.2	12
tt0000784	6	6
tt0000785	5.6	24
tt0000787	5.1	8
tt0000789	5	25
tt0000790	6.2	253
tt0000792	4.7	15
tt0000797	5.4	76
tt0000800	5.3	38
tt0000801	5.1	15
tt0000807	4.6	12
tt0000809	6	21
tt0000815	4.5	11
tt0000816	4.7	54
tt0000817	3.2	9
tt0000819	5.2	13
tt0000821	4.5	47
tt0000823	4.4	13
tt0000825	4.4	11
tt0000826	4.3	10
tt0000827	4.8	20
tt0000828	5.1	45
tt0000829	4.2	12
tt0000831	5.2	65
tt0000832	6.6	1976
tt0000833	6.4	490
tt0000835	4.9	72
tt0000837	5	9
tt0000840	5.6	228
tt0000841	5.3	18
tt0000843	5.2	9
tt0000845	4.4	9
tt0000848	6	13
tt0000851	4.9	10
tt0000852	5.8	137
tt0000853	5.1	8
tt0000854	6	356
tt0000855	5.1	8
tt0000857	4.6	7
tt0000858	4.6	7
tt0000860	4.7	19
tt0000861	4.9	13
tt0000864	5.5	11
tt0000870	5.1	12
tt0000871	5.6	48
tt0000874	4.7	9
tt0000875	4.2	8
tt0000877	4.9	40
tt0000878	4.9	109
tt0000880	5.9	29
tt0000882	6	130
tt0000884	3.5	6
tt0000886	5.2	19
tt0000887	4.4	18
tt0000890	6.8	13
tt0000891	5.1	18
tt0000892	5.6	34
tt0000893	6.3	19
tt0000895	5.5	126
tt0000897	5.9	19
tt0000898	4.7	6
tt0000901	4.4	5
tt0000904	5.3	76
tt0000905	4.6	5
tt0000908	6	11
tt0000910	4.7	7
tt0000911	2.9	7
tt0000912	4.3	30
tt0000921	4.9	7
tt0000922	5.7	63
tt0000924	6.1	114
tt0000928	5.4	59
tt0000932	3.2	5
tt0000933	4.8	19
tt0000934	4	7
tt0000935	6.1	49
tt0000936	6.8	40
tt0000938	4.4	125
tt0000939	4.9	8
tt0000942	6.1	720
tt0000945	4.6	39
tt0000946	4.6	40
tt0000950	3.6	8
tt0000954	5	5
tt0000960	4.6	208
tt0000961	8	12
tt0000964	4.5	6
tt0000966	5.7	276
tt0000969	5.8	12
tt0000970	5.7	46
tt0000971	6.2	109
tt0000972	5.6	37
tt0000974	5	22
tt0000975	5	5
tt0000976	4	8
tt0000979	4.9	13
tt0000981	5.6	16
tt0000986	5.1	76
tt0000988	4	7
tt0000989	4.5	14
tt0000990	6	38
tt0000995	6.5	6
tt0000997	6.2	6
tt0000998	5.1	9
tt0001000	5.1	13
tt0001001	5.5	64
tt0001002	4.7	64
tt0001008	5.2	9
tt0001009	6.5	802
tt0001013	5.9	283
tt0001014	5	73
tt0001015	3.9	8
tt0001016	5.6	72
tt0001025	7.2	5
tt0001027	5.2	5
tt0001029	5.1	25
tt0001032	6	666
tt0001033	4.4	7
tt0001035	4.9	17
tt0001041	5.4	11
tt0001044	5.8	65
tt0001045	4.7	7
tt0001050	5.2	48
tt0001053	5.4	5
tt0001054	5.9	12
tt0001058	4.6	8
tt0001061	5.9	12
tt0001062	6.1	963
tt0001063	5	5
tt0001064	4.5	11
tt0001067	5.6	5
tt0001071	5.8	5
tt0001072	5.6	207
tt0001074	5.6	10
tt0001076	5.1	10
tt0001078	5.9	15
tt0001079	3.8	5
tt0001083	5.4	82
tt0001084	5.1	125
tt0001085	4.8	5
tt0001086	5.6	5
tt0001088	5.1	38
tt0001089	8.2	18
tt0001090	6.4	5
tt0001091	5.5	141
tt0001092	5.7	13
tt0001098	5.9	7
tt0001101	4.5	14
tt0001103	5.6	12
tt0001104	5	12
tt0001105	6.5	689
tt0001106	6.1	55
tt0001107	5.9	20
tt0001117	5.9	7
tt0001118	5.5	121
tt0001120	5.6	142
tt0001121	4.6	13
tt0001129	5	14
tt0001135	4.8	20
tt0001143	4.7	12
tt0001144	4.6	11
tt0001150	5.2	50
tt0001151	4.2	12
tt0001152	4.5	13
tt0001153	4.5	11
tt0001156	4.3	9
tt0001159	5.6	8
tt0001161	4.5	10
tt0001165	4.4	7
tt0001176	4.2	8
tt0001186	5.2	43
tt0001187	4.4	8
tt0001200	4.5	14
tt0001202	4.6	7
tt0001206	6	10
tt0001207	5.7	76
tt0001216	4.6	8
tt0001217	5.8	37
tt0001218	5.4	71
tt0001223	6.4	3332
tt0001227	5.8	176
tt0001230	5	8
tt0001234	5.4	12
tt0001235	4.9	7
tt0001236	4.6	11
tt0001237	4.4	24
tt0001245	5.3	33
tt0001253	5.6	5
tt0001254	4.4	5
tt0001256	5.9	426
tt0001262	4.5	8
tt0001264	7	40
tt0001265	6.4	424
tt0001282	6.7	15
tt0001283	6.1	8
tt0001284	4.8	19
tt0001285	5.1	30
tt0001292	5	30
tt0001294	7.2	5
tt0001303	6	7
tt0001306	4.8	5
tt0001307	5.5	6
tt0001310	4.8	5
tt0001315	6	10
tt0001321	5.1	20
tt0001326	5.5	28
tt0001330	6.2	13
tt0001333	5.2	20
tt0001337	5.9	19
tt0001340	5.1	67
tt0001351	6	32
tt0001371	6	316
tt0001385	5.4	27
tt0001387	5.6	12
tt0001388	5.7	52
tt0001396	2.8	6
tt0001400	6.4	8
tt0001401	5.5	13
tt0001407	6.2	6
tt0001410	3.9	7
tt0001414	7.2	19
tt0001428	5.1	23
tt0001431	6.4	549
tt0001432	4.5	8
tt0001439	5.9	194
tt0001443	5.8	5
tt0001446	5.3	7
tt0001452	5.3	143
tt0001454	5.6	8
tt0001456	8.5	8
tt0001458	5.9	124
tt0001459	5.4	31
tt0001460	2.9	7
tt0001461	5.9	9
tt0001463	5.7	1288
tt0001469	5.8	61
tt0001481	5.7	9
tt0001482	4.9	26
tt0001488	6.3	340
tt0001490	4.8	9
tt0001496	4.1	31
tt0001497	7.2	5
tt0001499	5.5	240
tt0001508	5	13
tt0001510	5.4	26
tt0001517	5.6	14
tt0001518	5.7	7
tt0001519	4.5	15
tt0001527	7.7	2331
tt0001529	4	8
tt0001530	5.6	9
tt0001542	4	8
tt0001544	6	473
tt0001545	6.6	87
tt0001550	5.4	28
tt0001551	5.2	82
tt0001552	4.8	13
tt0001557	4.8	53
tt0001560	4.1	7
tt0001564	4.1	8
tt0001571	4.4	7
tt0001577	4.4	7
tt0001582	4.4	9
tt0001586	3.9	7
tt0001588	5.6	124
tt0001593	6.3	265
tt0001594	6.4	233
tt0001598	5.8	12
tt0001607	5.5	28
tt0001613	5.3	102
tt0001614	6.4	13
tt0001615	5	12
tt0001632	6.4	38
tt0001642	5.1	23
tt0001654	5.2	17
tt0001655	4	9
tt0001659	6.6	8
tt0001660	5.7	158
tt0001671	5	15
tt0001680	5.2	475
tt0001681	4.9	195
tt0001692	5.3	9
tt0001693	7.1	11
tt0001695	4.8	34
tt0001696	4.2	5
tt0001701	4.6	52
tt0001709	5.6	17
tt0001722	4.2	5
tt0001724	5.8	200
tt0001728	7.7	6
tt0001732	7.1	8
tt0001733	5.2	12
tt0001737	7.1	1427
tt0001738	7.2	18
tt0001740	6.5	954
tt0001741	4.2	12
tt0001742	5.6	7
tt0001747	4.7	10
tt0001753	5.3	7
tt0001762	4.7	50
tt0001769	5.3	26
tt0001771	5.4	109
tt0001772	5.6	7
tt0001776	6.8	140
tt0001779	7	9
tt0001787	8.5	6
tt0001789	6.3	196
tt0001815	7.2	9
tt0001817	5.2	60
tt0001840	4.9	21
tt0001848	4.2	24
tt0001852	4.1	7
tt0001856	4.6	27
tt0001862	5.3	24
tt0001865	5.9	27
tt0001868	5.4	5
tt0001871	4.5	29
tt0001872	7	21
tt0001877	5.3	41
tt0001892	5.9	170
tt0001896	5	39
tt0001910	5.3	40
tt0001911	4.1	7
tt0001913	5.7	168
tt0001915	5.9	73
tt0001923	7.3	15
tt0001924	5.4	5
tt0001925	5.3	14
tt0001928	4.5	32
tt0001941	5.1	53
tt0001949	5.6	16
tt0001956	6.1	7
tt0001963	5.7	98
tt0001964	6.1	47
tt0001969	5.4	5
tt0001973	6.2	216
tt0001978	5.6	12
tt0001987	6.1	11
tt0001989	5	5
tt0001998	4.3	13
tt0002029	6.1	33
tt0002031	4.6	8
tt0002034	4.9	17
tt0002041	3.9	14
tt0002045	4.2	71
